food,recipes,steps,bi_core_rec,bi_core_step,bi_shell_rec,bi_shell_step,bi_peel_rec,bi_peel_step,bi_stem_rec,bi_stem_step,two_core_rec,two_core_step,two_shell_rec,two_shell_step,two_peel_rec,two_peel_step,two_stem_rec,two_stem_step
almond,16897,16686,0,0,1,1,0,0,1,1,2,2,53,47,103,107,10,10
apple,30101,27791,39,39,8,10,53,62,7,7,1088,1120,186,188,995,1018,222,228
banana,16927,11788,0,0,0,0,26,24,0,0,16,11,39,40,480,515,10,11
bean,24254,16994,0,0,5,5,0,0,1,1,5,0,93,65,95,99,28,28
cherry,12595,10407,0,0,0,0,0,0,9,9,12,10,36,34,57,63,159,170
coconut,23622,31437,0,0,26,25,0,0,0,0,4,3,152,150,141,143,11,11
lemon,111186,137495,0,0,15,17,5045,5597,0,0,187,178,343,216,6365,7114,203,208
lime,37326,46503,0,0,9,10,769,860,0,0,12,9,86,45,1038,1167,68,69
olive,115457,149795,0,0,0,0,0,0,0,0,31,15,173,61,381,379,179,173
orange,38532,48280,0,0,14,16,4147,4722,0,0,27,22,56,49,5183,6005,64,60
pepper,159174,181668,5,5,2,2,1,0,23,23,267,223,434,132,1501,1489,916,907
pineapple,15178,19978,15,18,24,30,11,12,2,5,294,304,65,73,351,366,18,21
pumpkin,14190,15947,0,0,42,47,1,1,26,26,12,12,151,161,258,259,134,145
squash,10502,21200,2,2,31,35,10,10,0,0,32,28,149,154,820,859,162,168
strawberry,12198,7497,0,0,0,0,0,0,20,20,10,11,36,39,15,14,105,106
tomato,65920,69302,19,19,22,23,11,11,14,15,202,185,260,194,376,382,229,230
